RunNumber NLivePmts NTT8 Nentries MaxY MaxX GausAmp GausMean GausSigma SkewAmp SkewMean SkewLeftSigma SkewRightSigma BadChannels
32638 1163 153963 11319167 1.67518e+06 645.75 1.29927e+06 645.74 1.60647 2.64176e+06 644.641 1.0483 3.08789 18
32708 1056 10788 698925 93776 646.25 71645.2 646.492 1.7975 162985 645.346 1.25359 3.26877 0
32895 1130 162204 11326790 1.73011e+06 646.75 1.33137e+06 647.063 1.5682 2.64205e+06 645.899 0.981137 3.07035 5
32917 1143 161456 11283371 1.75302e+06 646.75 1.32197e+06 646.876 1.57331 2.63256e+06 645.705 0.97532 3.08182 6
32955 1138 159777 11162826 1.66671e+06 646.25 1.26234e+06 646.297 1.63001 2.60423e+06 645.22 1.11066 3.1055 7
32988 1138 194707 13564757 2.00486e+06 646.25 1.53138e+06 646.172 1.63338 3.16546e+06 645.035 1.07027 3.13193 13
33016 1133 171105 11874433 1.83136e+06 646.75 1.38154e+06 646.883 1.5848 2.77114e+06 645.712 0.993227 3.09158 4
33040 1132 156509 10868427 1.666e+06 646.25 1.24296e+06 646.32 1.61224 2.53651e+06 645.191 1.05194 3.1089 8
33067 1130 168977 11715630 1.7762e+06 646.25 1.34103e+06 646.373 1.61053 2.73347e+06 645.226 1.03609 3.10764 5
33108 1087 21136 1373668 208740 646.75 159907 646.952 1.5824 320271 645.773 0.988833 3.10257 3
33109 1091 217829 14245404 2.15619e+06 646.25 1.6171e+06 646.446 1.62251 3.32016e+06 645.367 1.10953 3.09305 9
33168 1125 163613 11201314 1.69436e+06 646.25 1.27735e+06 646.415 1.61687 2.61355e+06 645.299 1.06992 3.10254 3
33197 1117 151923 10224588 1.55792e+06 646.75 1.18681e+06 646.998 1.58808 2.38499e+06 645.827 0.997687 3.08952 6
